Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
314,3,0.3349,1.005,7.666,0.06848,0.959572,"O95249 P13861;P13861-2 P29218;P29218-3;P29218-2"
315,14,0.3042,27.68,73.10,0.2150,0.382537,"Q6NZI2;Q6NZI2-2 P40261 Q05682-5 Q05682 P00533 Q02952;Q02952-3 Q14192 Q9Y6M1-1;Q9Y6M1;Q9Y6M1-5;Q9Y6M1-3;Q9Y6M1-4 P60903 P02753 P15144 P07099 P23229-3;P23229;P23229-5 P47895"
316,6,0.3175,4.762,11.13,0.1707,0.188821,"Q15796-2;Q15796 O43432;O43432-3;O43432-4 P84022;P84022-3 Q96II8;Q96II8-4;Q96II8-2;Q96II8-3 Q93100-3;Q93100-4;Q93100;Q93100-2 Q14008;Q14008-2"
317,8,0.3138,8.787,79.63,0.08415,0.999679,"Q562E7;Q562E7-4 Q9P2K8-2;Q9P2K8 Q9P2E3 Q9BZ29-4;Q9BZ29-3;Q9BZ29 Q9NYL2 Q5VW36 Q9H6S0 O75843"
318,4,0.3415,2.049,14.98,0.08186,0.969699,"Q9H845 Q9Y512 Q8N766-2;Q8N766;Q8N766-3 Q8IXI1"
319,5,0.3052,3.052,17.77,0.09900,0.928164,"Q8TF05-2;Q8TF05 Q14997;Q14997-3 Q9P2R3;Q9P2R3-2;Q9P2R3-4 P31751;P31751-2 Q96EK5"
320,6,0.3144,4.716,17.33,0.1385,0.811179,"Q15796-2;Q15796 O43432;O43432-3;O43432-4 P84022;P84022-3 O94915 Q8NBF2 Q9H8S9;Q9H8S9-2"
321,6,0.3056,4.584,56.34,0.06286,0.993467,"Q6UX04;Q6UX04-2 Q03164-2;Q03164;Q03164-3 Q12873;Q12873-3;Q12873-2 Q9Y2K7;Q9Y2K7-3 Q7Z5J4;Q7Z5J4-2;Q7Z5J4-3 Q9UPU7;Q9UPU7-2"
322,5,0.3341,3.341,30.12,0.07687,0.952654,"Q15005 P61009 P67812;P67812-4;P67812-2 Q9Y6A9 Q969M3;Q969M3-3;Q969M3-2"
323,6,0.3046,4.568,54.89,0.06393,0.977336,"Q9H8Y5 P49815-4;P49815;P49815-5;P49815-3;P49815-2;P49815-7;P49815-6 Q14005-2;Q14005 Q03426 Q9H1I8;Q9H1I8-3 Q8NCA5-2;Q8NCA5"
324,6,0.3238,4.856,36.38,0.09122,0.984681,"Q9H269;Q9H269-2 Q96AX1 Q9P253 Q96JC1-2;Q96JC1 Q9UHD2 Q8N4Q0;Q8N4Q0-2"
325,7,0.3253,6.832,30.86,0.1322,0.899332,"Q9HC38-2;Q9HC38;Q9HC38-3 Q9UKK9 P30046;P30046-2 P60174-1;P60174-4 P30086 Q00688 P00558"
326,5,0.3181,3.181,13.82,0.1178,0.734565,"Q14204 Q13409-3;Q13409-6;Q13409-2;Q13409-7;Q13409;Q13409-5 Q9NP97 Q9UKY7;Q9UKY7-2 Q9Y6G9"
327,4,0.3414,2.049,38.54,0.04216,0.992931,"O95479 Q92626 Q6PCB7 Q10472"
328,9,0.3155,11.36,61.00,0.1257,0.933340,"P39656;P39656-3;P39656-2 P04844;P04844-2 Q9BVK6 P04843 P61803 P46977;P46977-2 P51571 Q9HD45 P36507"
329,13,0.3056,23.84,117.2,0.1427,0.999644,"Q99613;Q99613-2;B5ME19 O15371;O15371-3 Q7L2H7;Q7L2H7-2 O00303 P20042 Q92499;Q92499-3;Q92499-2 Q14152;Q14152-2 O15372 P60228 P55884-2;P55884 Q96F86 P26196 P55010"
330,5,0.3049,3.049,32.16,0.06745,0.989214,"Q14691 Q99622 Q9Y294 Q8NBT2;Q8NBT2-2 Q9ULZ3;Q9ULZ3-3"
331,4,0.3502,2.101,3.553,0.1539,0.235243,"Q9UL25 P84095 Q6DD88 O75396"
332,79,0.2671,822.9,1166,0.3834,2.95350e-05,"P47985 O14949 P14927 P20674 P13073 Q9P0J0;Q9P0J0-2 P17568 Q9Y6M9 P55084;P55084-2 Q16718;Q16718-2 O75489 P19404 P31930 Q86Y39;Q86Y39-2 P49821-2;P49821 P28331;P28331-2;P28331-4;P28331-5;P28331-3 O95169-3;O95169;O95169-2 Q99623;Q99623-2 O43678;O43678-2 O95139;O95139-2 Q9UI09 O43920 O95298;E9PQ53;O95298-2;O95298-3 P15954 P14406 O43181 P09669 P21912 P51970 P00403 O75380 O43676 O75964 O95167 P45880;P45880-2 P21796 O75438;O75438-2 O00217 O95168;O95168-2 Q99766 P03915 P10606 O14521-2;O14521;O14521-4 Q16795 Q9HBL7 O75306;O75306-2 O43674;O43674-2 O96000;O96000-2 O95182 Q8N2U0 Q9Y3B3;Q86XR7-2;Q9Y3B3-2 P56556 O95299;O95299-2 P31040;P31040-2;P31040-3 O75251;O75251-2 Q16134 Q9NTG7 P00395 O75431;O75431-2 O43772 Q9Y6C9 Q8NCN5 Q8IXI2-3;Q8IXI2-2;Q8IXI2-5;Q8IXI2-7;Q8IXI2 P36957 P23786 Q53H12 O96011;O96011-2 Q9Y241;Q9Y241-2 P08574 Q9H7Z7 P62834 Q02978;Q02978-2 Q00325 Q16595 O75323;O75323-2 Q9HA77 Q9P0J1;Q9P0J1-2 Q9UHG3;Q9UHG3-2 Q96LW7-2;Q96LW7"
333,14,0.3007,27.36,104.4,0.1712,0.991017,"Q8WUM0 P57740 P52948-5;P52948;P52948-2 Q92621 Q8N1F7;Q8N1F7-2 O60216 Q5SRE5;Q5SRE5-2 O75694;O75694-2 Q12769 Q9H6Z4-2 P37198 Q9BVL2-2;Q9BVL2-3;Q9BVL2 Q9P013 P42167"
334,3,0.4999,1.500,10.64,0.08268,0.985452,"Q70UQ0;Q70UQ0-2 Q5VZK9;Q5VZK9-2 Q86YQ8"
335,5,0.3073,3.073,24.91,0.08092,0.981643,"P15927;P15927-2;P15927-3 O75694;O75694-2 Q52LJ0-2;Q52LJ0 Q9NQG5 P78527;P78527-2"
336,4,0.3351,2.010,35.91,0.04378,0.992931,"Q8N4V1;Q8N4V1-2 Q9Y2B0 Q8WW59 O95831;O95831-4"
337,3,0.5737,1.721,6.260,0.1231,0.808633,"P29692-2 P29692 P43487-2;P43487"
338,7,0.3033,6.370,40.86,0.1040,0.989275,"Q8WVM8;Q8WVM8-2 Q9NRW7 Q7L5D6;Q7L5D6-2 O43747;O43747-2 Q5H9R7-6;Q5H9R7-2;Q5H9R7;Q5H9R7-4;Q5H9R7-5;Q5H9R7-3 Q7Z478 O00743;O00743-2;O00743-3"
339,3,0.5426,1.628,12.16,0.08225,0.985452,"P60891 P11908;P11908-2 P52788;P52788-2"
340,19,0.3020,51.64,133.4,0.2315,0.523281,"Q6NZI2;Q6NZI2-2 P40261 Q05682-5 Q05682 P50225 P0DMN0;P0DMM9;P0DMM9-3 P00533 Q02952;Q02952-3 Q14192 Q8WTS6 Q9BYN0 P60903 Q96AY3 P15144 P16144-3 P46937;P46937-9;P46937-6;P46937-7;P46937-2;P46937-8;P46937-5;P46937-3;P46937-4 O14639-6 O60504 P23229-3;P23229;P23229-5"
341,4,0.3390,2.034,17.27,0.07450,0.984809,"P48637;P48637-2 Q9NVS9;Q9NVS9-2;Q9NVS9-3;Q9NVS9-4 O00244 O43598;O43598-2"
342,4,0.3402,2.041,14.14,0.08442,0.667497,"P06748;P06748-2 Q9BZE4;Q9BZE4-2 O76021 E9PRG8"
343,10,0.3195,14.38,83.14,0.1223,0.955513,"Q9BT78;Q9BT78-2 Q92905 P61201;P61201-2 Q13098-5;Q13098;Q13098-7 Q7L5N1 Q9UNS2;Q9UNS2-2 Q86VP6;Q86VP6-2 Q99627;Q99627-2 Q96P70 Q15813;Q15813-2"
344,5,0.3162,3.162,16.97,0.1049,0.661948,"Q9NS87;Q9NS87-2;Q9NS87-4 P61244-2 Q92995 Q96R06 Q9NUQ3;Q9NUQ3-2"
345,30,0.3004,130.7,306.8,0.2627,0.375294,"Q9Y5J1 Q15269 Q9H583 Q9UNX4 Q8NEJ9-2;Q8NEJ9 Q9H6R4-4;Q9H6R4;Q9H6R4-2;Q9H6R4-3 Q12788 Q9NV31 Q14146 Q9NYH9 Q5JTH9;Q5JTH9-3;Q5JTH9-2 P56182 Q9H0A0;Q9H0A0-2 Q8TDD1-2 Q8IY81 Q9Y2P8 Q14692 Q9BQG0;Q9BQG0-2 Q9BSC4;Q9BSC4-2;Q9BSC4-4 Q96GQ7 Q9BZE4;Q9BZE4-2 Q14137;Q14137-2 Q9BVI4 Q14690 Q9Y3T9 Q9NVP1 Q99848 Q9GZL7 Q9Y3C1;Q9Y3C1-3;Q9Y3C1-2 Q9BVP2-2;Q9BVP2"
346,3,0.5153,1.546,10.38,0.08626,0.985452,"Q05048 P31942-2;P31942;P31942-3 Q13242"
347,4,0.3369,2.022,23.11,0.06102,0.903035,"O43290 Q15020;Q15020-4 Q9UJV9 P56545-2"
348,5,0.3149,3.149,26.66,0.07912,0.993907,"Q9NW13;Q9NW13-2 Q9NVU7;Q9NVU7-2 O00541;O00541-2 O15226-2;O15226 Q5T280"
349,3,0.3452,1.036,7.606,0.07073,0.808633,"Q15750;Q15750-2 P13798 Q9NQX3-2;Q9NQX3"
350,8,0.5072,14.20,2.569,0.4334,0.000453429,"Q6FI13;Q16777 Q5QNW6-2;Q5QNW6;Q93079 P68431 P62805 P23527 Q71UI9;P0C0S5;Q71UI9-4;Q71UI9-2;Q71UI9-3 P10412 Q8IUE6"
351,12,0.3030,20.00,30.77,0.2675,0.0442669,"Q9NTJ3;Q9NTJ3-2 O95347;O95347-2 Q9BPX3 Q15003;Q15003-2 Q15021 Q9Y248 Q9BRT9 Q9BRX5;Q9BRX5-3;Q9BRX5-2 Q9NS87;Q9NS87-2;Q9NS87-4 Q8TCG1;Q8TCG1-2 O95239;O95239-2 O14929;O14929-2"
