Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,6,0.3594,5.391,8.208,0.2106,0.0460626,"P49589-3 P41250 P54577 P49588;P49588-2 P49591 O43776"
2,12,0.3033,20.02,97.50,0.1414,0.979798,"Q9UBW5 P08567 P14317 Q13094 Q06187;Q06187-2 B0I1T2;B0I1T2-4 P20701;P20701-2 O75558 O75298;O75298-3;O75298-2 P30447 P16885 P41226"
3,5,0.3067,3.067,49.38,0.04911,0.996692,"Q99598 Q9H2P9;Q9H2P9-5;Q9H2P9-3;Q9H2P9-2;Q9H2P9-6;Q9H2P9-4 Q9GZS3 O43447;O43447-2 Q7Z5R6"
4,4,0.3423,2.054,45.33,0.03708,0.992931,"O14972;O14972-2 Q8NEB9 Q8N122;Q8N122-3 Q9GZT4"
5,4,0.4598,2.759,21.47,0.08560,0.969699,"Q9Y3C4;Q9Y3C4-3;Q9Y3C4-2 Q96S44 P53701 Q9NPF4"
6,5,0.3037,3.037,25.94,0.07793,0.952654,"O43765 P53041 Q99733;Q99733-2 P55209-2;P55209 P50148"
7,6,0.3077,4.615,55.38,0.06410,0.989880,"Q9NVA1;Q9NVA1-4;Q9NVA1-2;Q9NVA1-5 Q16540 Q96DA6;Q96DA6-2 O15258 Q9BRT2 P10109"
8,10,0.3006,13.53,105.9,0.09702,0.981182,"Q9Y2R9 P51398-2;P51398;P51398-3 Q9Y3D9 Q9Y2Q9 Q9GZT3-2;Q9GZT3 P23434 Q5U5X0 A4D1E9;A4D1E9-2 Q8IVS2 Q969Z0;Q969Z0-2"
9,5,0.3267,3.267,13.24,0.1233,0.798302,"Q71DI3;Q6NXT2 P84243 Q93077 Q9Y3E1 Q9Y2Z9-3;Q9Y2Z9"
10,5,0.3137,3.137,84.70,0.03207,0.996692,"Q9NXX6;Q9NXX6-2 Q96NB2 Q96CG3 Q8IWA4;Q8IWA4-3 Q6ICB0"
11,4,0.3406,2.044,47.08,0.03578,0.992931,"Q9NRP0;Q9NRP0-2 Q96RQ1 Q9BQB6;Q9BQB6-3;Q9BQB6-2 Q8TB61-3;Q8TB61-2;Q8TB61;Q8TB61-5;Q8TB61-4"
12,9,0.3009,10.83,155.0,0.05893,0.999794,"Q9Y5J7 P62072 O60220 Q9BUR5;Q9BUR5-2 O14561 Q5RI15;Q5RI15-2 P23434 P06746 Q8IVS2"
13,53,0.3001,413.5,2019,0.1629,1.00000,"Q12789;Q12789-3 Q12830;Q12830-4;Q12830-2 Q86VM9 P38432 Q9UBD5-2 O43913 Q7LBC6 O95104;O95104-2;O95104-3 Q7Z3K3-5;Q7Z3K3-2;Q7Z3K3;Q7Z3K3-7;Q7Z3K3-3;Q7Z3K3-6 Q8WXA9-2;Q8WXA9 Q9H7L9 Q9UHR5-2;Q9UHR5 Q14562 Q86UE8-2;Q86UE8;Q86UE8-3 Q15047-3;Q15047 Q9NVR2 Q8IWZ8 P22670 Q8N3X1;Q8N3X1-2 Q92541 Q8NFC6 Q71SY5-4 Q8N201 O60563 Q9H3P2 Q9P2N5 Q13416 P54278;P54278-3 Q93074-3;Q93074;Q93074-2 Q9UBB9 Q86U86-8;Q86U86;Q86U86-5;Q86U86-7;Q86U86-2;Q86U86-4;Q86U86-9;Q86U86-6 Q9H0E3;Q9H0E3-3;Q9H0E3-2 Q9Y6X3 P25490 Q13428-3;Q13428-8;Q13428-5 O60885;O60885-2;O60885-3 Q9HCK8;Q9HCK8-2 Q7L4I2;Q7L4I2-2 Q06330-7;Q06330-4;Q06330-6;Q06330;Q06330-5;Q06330-2 Q96MG7 Q8NCF5;Q8NCF5-2;Q8NCF5-3 P21127-8;P21127-2;P21127;P21127-3;P21127-6;P21127-9;P21127-10;P21127-12;P21127-4;P21127-5 Q66PJ3;Q66PJ3-3;Q66PJ3-2;Q66PJ3-4;Q66PJ3-5 O43166-3;O43166-2;O43166 Q14119 Q7Z2T5;Q7Z2T5-2 P49848;P49848-3;P49848-2 P49916-3;P49916;P49916-4;P49916-2 P49711;P49711-2 Q96RL1;Q96RL1-3;Q96RL1-2 Q9UEE9;Q9UEE9-2 O15164;O15164-2 Q9H6Y2"
14,77,0.3001,878.2,3794,0.1819,1.00000,"Q9Y291 Q96EL2 Q9P0U1 P48553 Q8N4H5;Q8N4H5-3;Q8N4H5-2 P82912-2;P82912;P82912-3 Q9NRP0;Q9NRP0-2 Q8N6L1;Q8N6L1-2 Q9BV81 P60059 Q9NQ50 Q5XKP0 Q5TGZ0 Q9Y5U9 Q9BYC8 Q9Y6G5 P61165 Q9BU61;Q9BU61-2 Q5J8M3;Q5J8M3-2;Q5J8M3-3 Q9UKR5 P56134-2;P56134-4 Q8TBQ9 P18859;P18859-2 Q9Y2R0 Q12981;Q12981-1;Q12981-2;Q12981-3 Q8IVH4 Q6P4A7;Q6P4A7-3 Q9H6K4 Q10469 Q5TEU4 P56378;P56378-2 P03891 P56381 Q969J3;Q969J3-2 Q9Y5R8 Q9Y296;Q9Y296-2 Q15388 Q9UI14 Q9H2W6 Q7Z7F7;Q7Z7F7-2 Q3ZAQ7 Q969Q5 P62341 Q9Y584 Q8IYS2;Q8IYS2-2 Q8TCC3-2;Q8TCC3;Q8TCC3-3 Q9UK45 O95070 Q96A57-2;Q96A57 O43819 Q9NWU1;Q9NWU1-2 Q96PE7 Q96DZ1;Q96DZ1-3;Q96DZ1-2 Q9Y587;Q9Y587-3;Q9Y587-4;Q9Y587-2 P00414 Q15628;Q15628-2 Q9BSF4 P07919 Q9BSR8 Q99807;Q99807-2 Q9ULC3 Q86T03;Q86T03-2 Q96B45 Q8NBL1 O14657 Q9UGM6 Q5RI15;Q5RI15-2 Q9HBH5 Q9UHP3-1 Q8N5M9 P27449 O60476 Q9Y282;Q9Y282-3;Q9Y282-2 Q5BJH7-3;Q5BJH7;Q5BJH7-4;Q5BJH7-5;Q5BJH7-6 Q9H9F9 Q9BTZ2;Q9BTZ2-8;Q9BTZ2-4;Q9BTZ2-7;Q9BTZ2-2 Q7Z7K0"
15,17,0.3084,41.94,536.3,0.06850,0.999997,"Q96S44 Q96ES7 Q16594 Q12830;Q12830-4;Q12830-2 Q9NUI1 O60830 Q75QN2;Q75QN2-2 O43924 O00165;O00165-2;O00165-5;O00165-3 O95926;O95926-2 Q7Z7A3 Q2VPK5;Q2VPK5-5 Q9Y232-2;Q9Y232;Q9Y232-4 Q9GZS1-2;Q9GZS1 Q9ULJ7;Q9ULJ7-2 Q9NRY2;Q9NRY2-2 Q8WV74;Q8WV74-2"
16,3,0.3442,1.032,16.96,0.04303,0.985452,"Q92604 O95219;O95219-2 Q8NEW0"
17,6,0.3036,4.554,40.81,0.07938,0.977336,"Q9NZD2 Q9UL26 Q6PL24 O75368 Q8NCG7;Q8NCG7-2;Q8NCG7-4 P53990-2;P53990-3"
18,6,0.3125,4.688,113.5,0.03600,0.998474,"Q3MHD2;Q3MHD2-2 O60573 Q6YHU6;Q6YHU6-3;Q6YHU6-2 Q147X3;Q147X3-2 O15116 Q5MIZ7-2;Q5MIZ7;Q5MIZ7-3"
19,10,0.3086,13.89,278.8,0.04442,0.999909,"Q92540-2;Q92540;Q92540-4;Q92540-5 Q96QU8 Q6YHU6;Q6YHU6-3;Q6YHU6-2 Q9H944;Q9H944-2 Q15751 Q8IYB5-3;Q8IYB5-2;Q8IYB5 Q9UPY3;Q9UPY3-2 Q9BRT8;Q9BRT8-2;Q9BRT8-3 Q8NCE2;Q8NCE2-2;Q8NCE2-3 Q96EK7;Q96EK7-2"
20,24,0.3011,83.09,824.5,0.08695,0.999998,"Q86VM9 P51948;P51948-2 P51946 Q9ULK4-4;Q9ULK4-3;Q9ULK4-5;Q9ULK4;Q9ULK4-2 Q9NVR2 Q96SY0;Q96SY0-4;Q96SY0-3 Q9UL03-3;Q9UL03 Q8N5L8 Q8N201 Q75QN2;Q75QN2-2 Q8IZ69;Q8IZ69-2 Q86UA1 Q7L1V2 Q9Y2Z2-4;Q9Y2Z2;Q9Y2Z2-6;Q9Y2Z2-5;Q9Y2Z2-2;Q9Y2Z2-3 O95707 Q9BUI4 P78345 Q96HW7;Q96HW7-2 Q9H0H0 Q6P9B9 Q8WUA4;Q8WUA4-2 Q9NVH2;Q9NVH2-3;Q9NVH2-2;Q9NVH2-4 Q9ULJ7;Q9ULJ7-2 O75818-2;O75818"
21,8,0.3175,8.891,44.30,0.1285,0.994959,"P09914;P09914-2 O14879 P29728-2 P20591;P20591-2 Q53GL7 P00973;P00973-2;P00973-3 Q9UDY8-2;Q9UDY8 Q8IY21"
22,12,0.3037,20.05,136.7,0.1109,0.999902,"O14617-5;O14617;O14617-4;O14617-2;O14617-3 O00203 Q9Y2T2 Q96KP1 Q96A65 Q5T4S7-3;Q5T4S7;Q5T4S7-4;Q5T4S7-2 Q9Y2L5;Q9Y2L5-2 Q9NRY5 Q9BXK5 Q8WVT3 Q9UI12-2;Q9UI12 A2RRP1;A2RRP1-2"
23,7,0.3030,6.363,37.19,0.1106,0.963181,"P56377 Q9NRR3 Q12912-2;Q12912 Q99828;Q99828-2 Q8NHG7 P63218 P05107"
24,49,0.3004,353.3,2018,0.1430,0.999998,"Q9UK61-3;Q9UK61;Q9UK61-4 Q99549;Q99549-2 Q9UKI8;Q9UKI8-2;Q9UKI8-5;Q9UKI8-4;Q9UKI8-3 Q92610 Q99590;Q99590-2 Q8NB78;Q8NB78-2 Q9NPF5 Q8TAQ2 Q14980-2 Q5T3J3 Q8TAD8 O94913 Q9ULU4-13;Q9ULU4-16;Q9ULU4-9;Q9ULU4-22;Q9ULU4-23 Q8N1G0 Q96PV6-2 Q9ULM3 Q96CB8 P52747-2;P52747-3;P52747 Q9ULV3-5;Q9ULV3;Q9ULV3-2;Q9ULV3-3;Q9ULV3-4 Q53F19;Q53F19-2 Q9H7N4 Q8NFC6 O75151 Q8TF68;Q8TF68-3;Q8TF68-2 Q96ST2;Q96ST2-2;Q96ST2-3 Q02040 Q9UMZ2-5;Q9UMZ2;Q9UMZ2-4;Q9UMZ2-8;Q9UMZ2-3;Q9UMZ2-7;Q9UMZ2-6;Q9UMZ2-9 Q9NWH9 Q96SK2-2;Q96SK2;Q96SK2-3 O00255-2;O00255;O00255-3 P54278;P54278-3 Q9UPP1-2;Q9UPP1;Q9UPP1-4;Q9UPP1-3 Q14191 Q05D32;Q05D32-2 Q96QD9 Q9Y6X3 Q96MU7;Q96MU7-2 Q8WV22 Q8IYL3 Q9UGU0;Q9UGU0-2 Q8NEY8 Q96FK6 Q9Y446-2 P48382;P48382-2 Q9ULG1 Q9Y2I7 Q9UIF9-2;Q9UIF9-3;Q9UIF9 Q9NQS7-2;Q9NQS7 Q9C0J8"
25,5,0.3078,3.078,40.26,0.05771,0.993907,"Q96CB9 Q96I59 Q9HC36 Q8IYB8 Q9Y2Z4"
26,5,0.3086,3.086,68.34,0.03790,0.996692,"Q5R3I4 O43896 O60333-2;O60333;O60333-4 O95219;O95219-2 Q8IZH2-2;Q8IZH2"
27,6,0.3398,5.097,83.51,0.05066,0.989880,"O60573 Q8TB72-3;Q8TB72;Q8TB72-2 Q6YHU6;Q6YHU6-3;Q6YHU6-2 Q8N9N8 Q9H2J4 Q969U7-2;Q969U7"
28,14,0.3069,27.93,270.0,0.08570,0.999948,"O00459 Q7KZI7-16;Q7KZI7-15;Q7KZI7-4;Q7KZI7-9;Q7KZI7-5;Q7KZI7-13;Q7KZI7-7;Q7KZI7-2;Q7KZI7-10 Q9BXB4 Q9NVH0;Q9NVH0-2 Q8IWR0 Q86XZ4 Q7Z7A3 Q6YHU6;Q6YHU6-3;Q6YHU6-2 Q147X3;Q147X3-2 Q9UBF8-2;Q9UBF8;Q9UBF8-3 Q6P1N0 Q9UPY3;Q9UPY3-2 Q9BRX2 O75427"
29,4,0.3464,2.078,23.37,0.06213,0.903035,"Q86XL3;Q86XL3-2 Q9BZ29-4;Q9BZ29-3;Q9BZ29 Q8TF05-2;Q8TF05 Q96EK5"
30,9,0.3013,10.85,170.0,0.05454,0.999853,"Q96S52;Q96S52-2 Q969N2-5;Q969N2;Q969N2-4;Q969N2-2;Q969N2-6 Q92643;Q92643-2 Q9H0R6;Q9H0R6-2 O43292;O43292-2 Q14964 Q99735;Q99735-2 Q96RQ1 Q9Y2H6-2;Q9Y2H6"
31,75,0.3005,833.9,1238,0.3753,0.000105235,"P47985 O14949 P14927 P20674 P13073 Q9P0J0;Q9P0J0-2 P17568 Q9Y6M9 Q16718;Q16718-2 O75489 P19404 Q86Y39;Q86Y39-2 P49821-2;P49821 P28331;P28331-2;P28331-4;P28331-5;P28331-3 O95169-3;O95169;O95169-2 Q99643 O43678;O43678-2 O95139;O95139-2 Q9UI09 O43920 O95298;E9PQ53;O95298-2;O95298-3 O43181 P09669 P21912 P51970 O75380 O43676 O95167 P45880;P45880-2 P21796 O75438;O75438-2 O00217 O95168;O95168-2 Q99766 P03915 O14521-2;O14521;O14521-4 Q16795 Q9HBL7 O75306;O75306-2 O43674;O43674-2 P03886 O96000;O96000-2 O95182 Q8N2U0 Q9Y3B3;Q86XR7-2;Q9Y3B3-2 P56556 O95299;O95299-2 O75251;O75251-2 Q16134 Q7Z7H5;Q7Z7H5-3 P00846 O14966;O14966-2;O14966-3 Q9NTG7 P00395 O75431;O75431-2 O43772 Q9H061;Q9H061-2 Q9Y6C9 Q8NCN5 Q8IXI2-3;Q8IXI2-2;Q8IXI2-5;Q8IXI2-7;Q8IXI2 P36957 P23786 Q8WUD1;Q8WUD1-2 Q53H12 O96011;O96011-2 Q9Y241;Q9Y241-2 P08574 Q9H7Z7 P62834 Q02978;Q02978-2 Q16595 O75323;O75323-2 Q9HB90 Q9HA77 O00330-3;O00330"
32,5,0.3251,3.251,173.6,0.01740,0.338052,"P51668 O95248;O95248-4 Q9NZI7;Q9NZI7-4 Q32MZ4-2;Q32MZ4 P56937-3;P56937;P56937-2"
33,4,0.3357,2.014,11.16,0.09511,0.903035,"P15170-2;P15170-3;P15170 Q8NCA5-2;Q8NCA5 Q7Z478 P63151;P63151-2"
34,73,0.2618,687.9,868.8,0.4040,5.32305e-08,"Q9NRX2 Q9BYD1 P82912-2;P82912;P82912-3 O60783 Q96DV4 Q9HD33-2;Q9HD33 Q9H0U6 Q9BYD3;Q9BYD3-2 Q9H9J2 Q9BYD2 Q9NQ50 P82930 P82650 Q8N983-4 Q5T653 P82914 Q9Y2R9 P51398-2;P51398;P51398-3 Q9Y3D3;Q9Y3D3-2 Q9BYN8 Q14197 Q9NVS2 Q8N5N7 Q9P0M9 Q9Y2R5 P82663;P82663-2 P49406 P82664 Q8IXM3 Q96A35 P82921 Q9Y3D9 Q9P015 Q9NX20 Q9NYK5;Q9NYK5-2 Q9H2W6 Q96GC5-3;Q96GC5 Q13405 Q9Y399 Q9P032 Q9BYD6 Q96E11-3;Q96E11;Q96E11-8;Q96E11-2 Q8TCC3-2;Q8TCC3;Q8TCC3-3 Q7Z7H8;Q7Z7H8-2 Q7Z2W9;Q7Z2W9-2 P82673;P82673-2 Q9NWU5;Q9NWU5-2;Q9NWU5-3 Q9BRJ2 Q4U2R6 O75394 Q9Y2Q9 P82675 Q9Y676 P82932 P82933 Q6P1L8 Q8TAE8 Q9BZE1 Q16540 Q9NP92 P09001 Q13084 Q96EY7 Q92665 Q9Y3B7;Q9Y3B7-2;Q9Y3B7-3 Q96EL3 P52815 Q9BQC6 Q9Y2S7 Q5U5X0 Q92552;Q92552-2 O43615 A4D1E9;A4D1E9-2"
35,11,0.3035,16.69,246.6,0.05850,0.999848,"Q9Y6D0 Q9BUE0 P52655 Q8N5L8 Q99735;Q99735-2 Q8IZE3-2;Q8IZE3 Q8TB52 Q8N1F8 Q9H6E4 Q4G148-2;Q4G148 Q9NPL8"
36,9,0.3250,11.70,95.80,0.09323,0.986362,"P09467 Q8IV36-2;Q8IV36;Q8IV36-3 Q8N335 O75976;O75976-2 Q8WUI4-3;Q8WUI4-4;Q8WUI4;Q8WUI4-7;Q8WUI4-6;Q8WUI4-5;Q8WUI4-10 Q6NTF9;Q6NTF9-2 P35520;P35520-2 Q68CZ2;Q68CZ2-2 Q9Y5V3;Q9Y5V3-2"
37,3,0.3423,1.027,17.21,0.04238,0.985452,"Q7Z3C6;Q7Z3C6-2 Q66K14-2;Q66K14 Q6PJ69"
38,48,0.3001,338.6,715.2,0.2945,0.285054,"P22626 P09651;P09651-2;P09651-3 P61978-3 P31943 Q15233;Q15233-2 P23246;P23246-2 Q15717;Q15717-2 O43390;O43390-3 P26599;P26599-2;P26599-3 Q9BXP5-4;Q9BXP5-2;Q9BXP5-3;Q9BXP5;Q9BXP5-5 Q16630-2;Q16630;Q16630-3 P07910-2;P07910-4 P52597 P14866;P14866-2 P52272;P52272-2 Q13151 O95232 P84103-2;P84103 Q96HJ9-2;Q9Y383-3 Q13148 Q00839 Q8WYA6;Q8WYA6-4;Q8WYA6-2;Q8WYA6-3 Q01081;Q01081-4 Q9UHX1-2;Q9UHX1-4 Q12906-7;Q12906-4;Q12906-6 Q07955;Q07955-3;Q07955-2 Q92945 P43243 P08621;P08621-2;P08621-3 Q15637-6;Q15637-2;Q15637-3;Q15637;Q15637-7 Q01130;Q01130-2 Q8IWX8 O15042-2;O15042;O15042-3 P26368-2;P26368 Q07666;Q07666-2;Q07666-3 P62995;P62995-3 P38159;P38159-2 Q9NYF8-2;Q9NYF8;Q9NYF8-4 Q08211 Q96PK6 Q86V81 Q15424-4;Q15424;Q15424-3;Q15424-2 Q13247-3;Q13247 Q96T37-4;Q96T37-2;Q96T37-3;Q96T37 O75937 O43660;O43660-2 P18583-5;P18583-7;P18583;P18583-9;P18583-2;P18583-10;P18583-4 P27695"
39,26,0.3007,97.71,1125,0.07665,1.00000,"O95248;O95248-4 Q8WUH2 Q8N8A2;Q8N8A2-4;Q8N8A2-3 O75064 Q9Y4Y9;Q9Y4Y9-2 Q3KRA6 Q9NUI1 O43752 Q7RTS9;Q7RTS9-2 Q86TN4;Q86TN4-4;Q86TN4-2;Q86TN4-3 O60830 Q9NRP2 P56962 Q7L1V2 Q9NVV0 Q9NR77 Q9H147 O43924 O00165;O00165-2;O00165-5;O00165-3 O43299 Q13371;Q13371-2 Q8IY95-2;Q8IY95 Q2VPK5;Q2VPK5-5 Q9NRG7-2;Q9NRG7 Q5XPI4;Q5XPI4-2 Q9NPF4"
40,24,0.3001,82.82,324.0,0.1821,0.995718,"P16298;P16298-4;P16298-3;P16298-2 P15498;P15498-2 Q9HBI0;Q9HBI0-2;Q9HBI0-3 P42768 Q7L591 Q9UBW5 P08567 P35236;P35236-2;P35236-3 P14317 P06239;P06239-3 Q13094 O15514 O95319-5;O95319-2;O95319;O95319-4;O95319-3 P56377 Q9NRR3 Q06187;Q06187-2 Q92619;Q92619-2 Q9UI08 Q12912-2;Q12912 P08575-2;P08575 Q53QZ3 P16150 B0I1T2;B0I1T2-4 Q96FS4"
41,82,0.3006,998.2,1764,0.3411,0.00508226,"P47985 P14927 Q9P0J0;Q9P0J0-2 P17568 Q9Y6M9 Q16718;Q16718-2 O75489 P19404 Q86Y39;Q86Y39-2 P49821-2;P49821 P28331;P28331-2;P28331-4;P28331-5;P28331-3 O95169-3;O95169;O95169-2 Q9BV79;Q9BV79-2 Q99643 O43678;O43678-2 O95139;O95139-2 Q9UI09 O43920 O95298;E9PQ53;O95298-2;O95298-3 O43181 P21912 P51970 O75380 O43676 Q92506 Q8N4T8;Q8N4T8-2 O95167 P17152 O75438;O75438-2 Q9P0S9 Q9H2K0 O00217 O95168;O95168-2 Q99766 P03915 O14521-2;O14521;O14521-4 Q16795 Q9NZJ6 Q96AQ8 Q9HBL7 O75306;O75306-2 P03886 P56134-2;P56134-4 O96000;O96000-2 O95182 Q6P4A7;Q6P4A7-3 P03891 Q8N2U0 Q9Y3B3;Q86XR7-2;Q9Y3B3-2 O75414 O95299;O95299-2 O75251;O75251-2 Q16854;Q16854-2;Q16854-3;Q16854-5 Q86SZ2;Q86SZ2-2 Q16134 Q7Z7H5;Q7Z7H5-3 P00846 O14966;O14966-2;O14966-3 Q9NWU1;Q9NWU1-2 Q9NTG7 P00395 P50336 O75431;O75431-2 Q9H061;Q9H061-2 Q16611;Q16611-2 Q8NCN5 Q96ND0 Q8IXI2-3;Q8IXI2-2;Q8IXI2-5;Q8IXI2-7;Q8IXI2 Q9NXS2;Q9NXS2-3 P23786 O96011;O96011-2 Q9Y241;Q9Y241-2 Q8IW45;Q8IW45-2;Q8IW45-4 Q06136;Q06136-2 Q9NVH6-7;Q9NVH6;Q9NVH6-8;Q9NVH6-5;Q9NVH6-6;Q9NVH6-4 Q16595 Q9Y259 Q9HA77 O00330-3;O00330 Q9BRX8-2;Q9BRX8 Q969H8 Q9NSK7-3;Q9NSK7-4"
42,5,0.3123,3.123,136.0,0.02095,0.996692,"Q9P2W9 Q9UJX2;Q9UJX2-3 Q13042-3;Q13042-2;Q13042 O14727-4;O14727;O14727-5;O14727-3;O14727-2 Q96PE3-3;Q96PE3;Q96PE3-2;Q96PE3-4"
43,58,0.3001,496.1,3818,0.1120,1.00000,"P48553 Q8NC44 P62913-2 Q13905-3;Q13905;Q13905-4;Q13905-2 Q96HR3-2;Q96HR3 Q9P2A4 O75688;O75688-4;O75688-5 Q16774 Q9UPR3 Q92540-2;Q92540;Q92540-4;Q92540-5 Q96BP2 Q8WUH2 Q9P2Y5 Q86VX2-2;Q86VX2 Q9UMR2;Q9UMR2-3 Q9BQ48 Q8TAQ2 Q9UM13 Q15027 Q9HAN9 Q13951 Q9HB19 P61599 Q8IWT0;Q8IWT0-2 Q86YV9 Q7Z3J2;Q7Z3J2-2 Q6ZMI0;Q6ZMI0-2;Q6ZMI0-5;Q6ZMI0-3 Q9P0J7 Q8IX04-6;Q8IX04;Q8IX04-3;Q8IX04-2;Q8IX04-4 Q8TEK3-2;Q8TEK3 Q643R3 Q9Y6Y0 Q86UA1 Q969F9 Q9BV68;Q9BV68-2 Q8IYB7;Q8IYB7-2 P51157;P51157-3 Q5R3I4 Q9HAU5 Q96DM3 Q9P2K8-2;Q9P2K8 P38935 Q5VV42;Q5VV42-2 Q15013;Q15013-3 Q6P158 Q99836;Q99836-6;Q99836-2;Q99836-3 Q9UKZ1 Q96EB1;Q96EB1-3 Q9UL18 Q8TEU7;Q8TEU7-4;Q8TEU7-5;Q8TEU7-3 O43896 O43314-2;O43314 Q9H000;Q9H000-2 Q9Y2L9-2;Q9Y2L9;Q9Y2L9-3 O00443 Q7Z7E8;Q7Z7E8-2 Q9NZ52;Q9NZ52-4;Q9NZ52-2 Q8IZH2-2;Q8IZH2"
44,7,0.3027,6.358,145.6,0.03831,0.989275,"Q9H0R6;Q9H0R6-2 O75879 Q14241 Q9NWV8;Q9NWV8-3 P19447 Q52LJ0-2;Q52LJ0 Q96PU4;Q96PU4-2"
45,15,0.3048,32.00,509.5,0.05600,0.999997,"Q9BUQ8 Q9NVC6 P51946 Q9ULK4-4;Q9ULK4-3;Q9ULK4-5;Q9ULK4;Q9ULK4-2 O95071;O95071-2 Q96E29;Q96E29-3;Q96E29-2 Q8IZ69;Q8IZ69-2 Q9HCE5 Q9BUI4 Q9NUL7 P29083 Q9NWT1 Q9H4Z3 Q70CQ2;Q70CQ2-2;Q70CQ2-3 Q32P41"
46,51,0.3010,383.7,882.1,0.2805,0.420435,"Q99460;Q99460-2 O00231;O00231-2 P25787 P25786;P25786-2 P78371 P50991 P60900;P60900-2;P60900-3 P25789;P25789-2 P49721 P49720 O14818 P25788-2;P25788 P20618 P51665 P28066;P28066-2 O00232;O00232-2 P62195;P62195-2 P17980 P43686;P43686-2 P35998;P35998-2 Q99436 P28072 Q13200;Q13200-3;Q13200-2 P48556 P62191 O00487 P62333 O43242 P55036;P55036-2 P41091;Q2VIR3;Q2VIR3-2 P20042 Q15008;Q15008-4;Q15008-3;Q15008-2 Q92973-2;Q92973;Q92973-3 Q9Y3I0 P05198 Q9UNM6 P26641;P26641-2 P24534 Q15631 P28070 Q12904;Q12904-2 O14744;O14744-2;O14744-5;O14744-3;O14744-4 Q9UMX0;Q9UMX0-2 Q9Y224 Q16531 Q13155 P56192;P56192-2 P54136 O76071 Q9H3P7 Q16186"
47,3,0.5945,1.783,24.18,0.05579,0.808633,"Q99436 P28072 P28074;P28074-2"
48,3,0.3362,1.009,3.991,0.09170,0.808633,"Q8NB90;Q8NB90-2;Q8NB90-3 Q6P3X3 Q8TEP8-3"
49,3,0.3318,0.9955,8.697,0.06344,0.959572,"O75530;O75530-3;O75530-2 Q9Y657 Q01105"
50,5,0.3050,3.050,81.14,0.03238,0.928164,"Q7Z4G1;Q7Z4G1-2 Q969E2-2;Q969E2;Q969E2-3 Q9NUY8-2;Q9NUY8 Q9H330-2;Q9H330;Q9H330-4 Q15746;Q15746-5;Q15746-3;Q15746-2;Q15746-4;Q15746-7;Q15746-9"
51,12,0.3078,20.32,168.5,0.09545,0.998527,"P84090 Q16629-3;Q16629-2;Q16629-4;Q16629 P62995;P62995-3 O75494-3;O75494-4;O75494 Q15287 Q8IXT5 Q9Y3Y2-4;Q9Y3Y2;Q9Y3Y2-3 P51991 Q9UKV3;Q9UKV3-3;Q9UKV3-2 Q13595;Q13595-4;Q13595-3;Q13595-2 O00422 P31942-2;P31942;P31942-3"
52,10,0.3008,13.54,269.6,0.04466,0.999616,"O15235 P49796;P49796-6;P49796-4;P49796-1;P49796-9 Q8NEC7;Q8NEC7-3 Q9NWT1 Q96EB1;Q96EB1-3 Q8WUR7;Q8WUR7-2;Q8WUR7-3 Q8IYM9;Q8IYM9-2 Q08AD1-3;Q08AD1;Q08AD1-2 Q00537-2;Q00537 Q9BWH6;Q9BWH6-3"
53,5,0.3119,3.119,31.24,0.07031,0.734565,"Q9UMX0;Q9UMX0-2 Q9NRR5 Q08752 P78362;P78362-2 Q9NX74"
54,57,0.3012,480.8,1278,0.2567,0.904753,"P49368 P17987 Q99460;Q99460-2 O00231;O00231-2 P50990;P50990-2 P48643;P48643-2 P25787 P25786;P25786-2 P78371 P50991 P60900;P60900-2;P60900-3 P25789;P25789-2 Q99832;Q99832-3;Q99832-4;Q99832-2 P40227;P40227-2 P49721 P49720 O14818 P25788-2;P25788 P20618 Q99471 P61758 P28066;P28066-2 O15212 Q13200;Q13200-3;Q13200-2 O60925 Q9UHV9 O14579;O14579-3;O14579-2 Q15370 P34932 P31948;P31948-2;P31948-3 P30153 P55036;P55036-2 P41091;Q2VIR3;Q2VIR3-2 P20042 Q9BT78;Q9BT78-2 Q92905 Q92973-2;Q92973;Q92973-3 O14980 P22392-2 P62258;P62258-2 P61201;P61201-2 Q14974;Q14974-2 Q13098-5;Q13098;Q13098-7 Q15819 Q7L5N1 P50395 P06730;P06730-3;P06730-2 P61088 P55735;P55735-3 Q9NTK5 Q86VP6;Q86VP6-2 P56192;P56192-2 P62495;P62495-2 Q96FW1 P24666;P24666-4 Q13177 Q9UHY7"
